model-1577167384,1577167924.306,0.56,0.2494,0.47,0.2502
model-1577167384,1577167924.95,0.46,0.2505,0.53,0.2495
model-1577167384,1577167925.599,0.52,0.2493,0.53,0.2501
model-1577167384,1577167926.153,0.45,0.2509,0.53,0.2494
model-1577167384,1577167926.727,0.52,0.2492,0.41,0.2515
model-1577167384,1577167927.471,0.46,0.2508,0.34,0.2531
model-1577167384,1577167928.059,0.52,0.2494,0.53,0.2472
model-1577167384,1577167928.618,0.53,0.2479,0.44,0.251
model-1577167384,1577167929.241,0.57,0.2478,0.47,0.2503
model-1577167384,1577167929.801,0.52,0.2481,0.38,0.2555
model-1577167384,1577167930.55,0.52,0.2495,0.62,0.2422
model-1577167384,1577167931.225,0.49,0.2514,0.59,0.2444
model-1577167384,1577167931.916,0.46,0.2538,0.66,0.2419
model-1577167384,1577167932.589,0.49,0.2503,0.5,0.2475
model-1577167384,1577167933.268,0.57,0.2457,0.44,0.2501
model-1577167384,1577167933.857,0.51,0.2495,0.56,0.2457
model-1577167384,1577167934.419,0.38,0.254,0.41,0.2508
model-1577167384,1577167934.94,0.65,0.2464,0.66,0.2467
model-1577167384,1577167935.576,0.45,0.2506,0.56,0.2484
model-1577167384,1577167936.255,0.55,0.2478,0.53,0.2489
model-1577167384,1577167936.873,0.59,0.2491,0.69,0.2477
model-1577167384,1577167937.444,0.56,0.2491,0.59,0.2477
model-1577167384,1577167937.968,0.62,0.2475,0.62,0.2442
model-1577167384,1577167938.492,0.48,0.2505,0.25,0.2561
model-1577167384,1577167939.08,0.55,0.2482,0.34,0.2535
model-1577167384,1577167939.841,0.44,0.251,0.59,0.2464
model-1577167384,1577167940.564,0.48,0.2486,0.47,0.2475
model-1577167384,1577167941.137,0.48,0.2499,0.5,0.2485
model-1577167384,1577167941.717,0.49,0.2494,0.56,0.2483
model-1577167384,1577167942.356,0.62,0.2474,0.56,0.2486
model-1577167384,1577167942.946,0.59,0.2481,0.44,0.2493
model-1577167384,1577167943.516,0.49,0.2498,0.44,0.2493
model-1577167384,1577167944.114,0.54,0.2492,0.38,0.2502
model-1577167384,1577167944.693,0.53,0.2494,0.78,0.2423
model-1577167384,1577167945.265,0.67,0.2455,0.5,0.2488
model-1577167384,1577167945.862,0.53,0.2485,0.75,0.2423
model-1577167384,1577167946.503,0.59,0.2449,0.59,0.2415
model-1577167384,1577167947.065,0.57,0.2465,0.59,0.2433
model-1577167384,1577167947.611,0.56,0.2477,0.59,0.2422
model-1577167384,1577167948.141,0.6,0.2431,0.47,0.2476
